,product,value,customer
0,"['32988396', '31618475', '32988382', '31618321', '34129942']","[469.8809320707791, 290.4188669245634, 274.7797456457728, 257.0363812253069, 77.11479993801223]",714419
1,"['36298206', '36298290', '36298416', '36298381', '36298220', '36298262', '36298395']","[594.5667014569935, 375.4677387170732, 167.78769704519127, 120.5542163488181, 69.3529172733598, 30.012466821708426, 18.86316287631953]",697556
2,"['35609273', '35609252', '35609245']","[108.49303078002146, 55.602139549229754, 37.96969474836661]",543790
3,"['34798386', '35662704', '35662641', '34130894', '31047520', '35662452', '31047492', '31047450', '31047464']","[546.1220631222034, 210.10323277647228, 185.0683652466133, 128.34496232324597, 87.731985454361, 64.23476115039806, 61.92253052534606, 48.595294241035994, 23.290491077536526]",713483
4,"['35609273', '35609252', '35609245']","[108.49303078002146, 55.602139549229754, 37.96969474836661]",838700
5,"['34798386', '32988396', '31618321', '31618475', '32988382', '34130894']","[546.1220631222034, 417.3825972664224, 257.0363812253069, 227.73869121851487, 135.90600890982168, 128.34496232324597]",341953
6,"['35984452', '34130894', '34798386']","[286.2017037296525, 128.34496232324597, 25.533094827835328]",457070
7,"['32078830', '32078802', '32476192', '32842551', '32078795', '32078970', '32078935', '32079103']","[780.0825847850617, 587.9303412019748, 559.0926091472996, 328.64813942743154, 272.8778474957213, 191.44276881610836, 45.986274830583326, 25.65671892200126]",649561
8,"['32988396', '31618475', '32988382', '31618321', '34129942']","[469.8809320707791, 290.4188669245634, 274.7797456457728, 257.0363812253069, 77.11479993801223]",719003
9,"['32078802', '32078970', '32476192', '32078830', '32842551', '32078795', '31047520', '31047492', '35662452', '31047450', '31047415']","[827.3627254565821, 682.2102925851468, 559.0926091472996, 374.8372656119832, 299.6981052939996, 192.02989367568824, 78.99163653236694, 51.802353188840094, 34.505553090471324, 31.941530432333607, 27.531580101500445]",26366
10,"['36298416', '36298395', '36298290', '36298262', '36298220', '36298206', '36298381', '36298122', '35609273', '35609252', '35609245']","[1791.7685004833104, 1530.2592960918003, 1246.3935383487997, 756.5477647131631, 697.6727245029272, 645.8047030281339, 584.8409267290149, 151.99817684579284, 108.49303078002146, 55.602139549229754, 6.4213161425461545]",250504
11,"['36298416', '36298395', '36298290', '32078802', '36298262', '36298220', '32078970', '36298206', '36298381', '32476192', '32078830']","[1791.7685004833104, 1530.2592960918003, 1246.3935383487997, 827.3627254565821, 756.5477647131631, 697.6727245029272, 682.2102925851468, 645.8047030281339, 584.8409267290149, 559.0926091472996, 374.8372656119832]",512306
12,"['36298416', '34130894', '36298262', '36298395', '36298220', '34798386']","[167.78769704519127, 128.34496232324597, 115.18241155595084, 74.32099497492224, 69.3529172733598, 25.533094827835328]",684916
13,"['36298290', '36298206', '36298416', '36298381', '36298262', '35609273', '36298395', '36298220', '35609252', '35609245']","[944.4036335152042, 594.5667014569935, 167.78769704519127, 120.5542163488181, 115.18241155595084, 108.49303078002146, 74.32099497492224, 69.3529172733598, 55.602139549229754, 37.96969474836661]",453486
14,"['35984452', '34130894', '34798386']","[286.2017037296525, 128.34496232324597, 25.533094827835328]",567871
15,"['32988396', '31618475', '32988382', '31618300']","[412.5500204507784, 257.16660441745756, 203.04169765374783, 2.376759216964381]",327703
16,"['34798386', '34130894']","[546.1220631222034, 128.34496232324597]",832929
17,"['32988396', '31618475', '32988382', '31618321', '34129942']","[469.8809320707791, 290.4188669245634, 274.7797456457728, 257.0363812253069, 77.11479993801223]",525868
18,"['36298416', '36298395', '36298290', '36298262', '36298220', '36298206', '36298381', '36298122']","[1791.7685004833104, 1530.2592960918003, 1246.3935383487997, 756.5477647131631, 697.6727245029272, 645.8047030281339, 584.8409267290149, 151.99817684579284]",752414
19,"['32988396', '31618321', '31618475', '32988382', '35663054']","[417.3825972664224, 257.0363812253069, 227.73869121851487, 135.90600890982168, 4.075466179927415]",301990
20,"['36298290', '36298206', '36298416', '36298381', '36298262', '35609273', '36298395', '36298220', '35609252', '35609245']","[944.4036335152042, 594.5667014569935, 167.78769704519127, 120.5542163488181, 115.18241155595084, 108.49303078002146, 74.32099497492224, 69.3529172733598, 55.602139549229754, 37.96969474836661]",839141
21,"['34130894', '34798386']","[128.34496232324597, 25.533094827835328]",363799
22,"['35984452', '34130894', '34798386']","[286.2017037296525, 128.34496232324597, 25.533094827835328]",370735
23,"['32988396', '31618475', '31618321', '32988382', '34129942', '31618300']","[634.7881591196956, 420.09703990130134, 257.0363812253069, 254.2146554359113, 77.11479993801223, 2.376759216964381]",635744
24,"['32078830', '35984452']","[406.43274428749595, 286.2017037296525]",469752
25,"['32078830', '32476192', '32078802', '32842551', '32078795', '32078970', '32079103', '32078935']","[632.4118090777264, 559.0926091472996, 509.91262997998035, 273.4956226625291, 231.00431297009112, 57.526631009814786, 25.65671892200126, 1.1354281836515119]",586476
26,"['32078970', '32476192', '32842551', '32078802', '32078795']","[682.2102925851468, 559.0926091472996, 299.6981052939996, 299.1785640589235, 192.02989367568824]",612061
27,['35074081'],[7.836897681426502],795246
28,"['32078830', '32078802', '32842551', '32078970']","[374.8372656119832, 254.2441279941481, 42.837897641664355, 13.252786966340373]",778840
29,"['32078830', '32078802', '32476192', '32842551', '32078795', '32078970', '32078935', '32079103']","[780.0825847850617, 587.9303412019748, 559.0926091472996, 328.64813942743154, 272.8778474957213, 191.44276881610836, 45.986274830583326, 25.65671892200126]",33317
30,['35984452'],[286.2017037296525],724200
31,"['36298290', '36298206', '36298416', '36298381', '36298262', '36298395', '36298220', '35609245']","[944.4036335152042, 594.5667014569935, 167.78769704519127, 120.5542163488181, 115.18241155595084, 74.32099497492224, 69.3529172733598, 6.4213161425461545]",466055
32,"['32988396', '31618475', '32988382', '31618321', '34129942']","[469.8809320707791, 290.4188669245634, 274.7797456457728, 257.0363812253069, 77.11479993801223]",531978
33,"['36298416', '36298290', '36298395', '36298262', '36298220', '36298206', '36298381']","[1083.2951539054807, 931.4924342516136, 798.6553118277213, 419.75899230552, 408.8396852381886, 341.64604831728474, 120.5542163488181]",536732
34,"['32981935', '35609273', '35609252', '35609245']","[130.3509040171219, 108.49303078002146, 55.602139549229754, 6.4213161425461545]",787423
35,"['32988396', '31618321', '31618475', '32988382', '35609273', '35609252', '35609245']","[417.3825972664224, 257.0363812253069, 227.73869121851487, 135.90600890982168, 108.49303078002146, 55.602139549229754, 37.96969474836661]",281280
36,"['34130894', '34798386', '35663054']","[128.34496232324597, 25.533094827835328, 4.075466179927415]",609675
37,"['36298206', '36298290', '36298416', '36298381', '36298220', '36298262', '36298395']","[594.5667014569935, 375.4677387170732, 167.78769704519127, 120.5542163488181, 69.3529172733598, 30.012466821708426, 18.86316287631953]",80236
38,"['31047520', '35663054']","[27.114171748061022, 4.075466179927415]",832511
39,"['31047520', '31047492', '35662452', '31047450', '31047415']","[78.99163653236694, 51.802353188840094, 34.505553090471324, 31.941530432333607, 27.531580101500445]",524241
40,"['32988396', '31618475', '32988382', '34129942']","[469.8809320707791, 290.4188669245634, 274.7797456457728, 77.11479993801223]",166191
41,"['32988396', '31618475', '32988382', '31618321', '34129942']","[469.8809320707791, 290.4188669245634, 274.7797456457728, 257.0363812253069, 77.11479993801223]",777957
42,"['32988396', '31618321', '31618475', '32988382', '35609245']","[417.3825972664224, 257.0363812253069, 227.73869121851487, 135.90600890982168, 6.4213161425461545]",81238
43,"['36298290', '36298262', '36298220', '36298206', '36298416', '36298395', '34130894', '36298381', '34798386']","[944.4036335152042, 701.8400258068159, 670.479582489042, 594.5667014569935, 581.9012585327861, 559.7964414719744, 128.34496232324597, 120.5542163488181, 25.533094827835328]",456706
44,"['36298290', '36298262', '36298220', '36298206', '36298416', '36298395', '36298381', '31047443', '31047520', '31047492', '35074081']","[944.4036335152042, 701.8400258068159, 670.479582489042, 594.5667014569935, 581.9012585327861, 559.7964414719744, 120.5542163488181, 41.84850658896197, 26.918442687188385, 8.083787224374996, 7.836897681426502]",392787
45,"['36298416', '36298395', '36298290', '36298262', '36298220', '36298206', '36298381', '36298122']","[1791.7685004833104, 1530.2592960918003, 1246.3935383487997, 756.5477647131631, 697.6727245029272, 645.8047030281339, 584.8409267290149, 151.99817684579284]",756651
46,"['35609273', '35609252', '35609245']","[108.49303078002146, 55.602139549229754, 37.96969474836661]",693062
47,"['36298290', '36298206', '36298416', '36298381', '36298262', '35609273', '36298395', '36298220', '35609252', '35609245']","[944.4036335152042, 594.5667014569935, 167.78769704519127, 120.5542163488181, 115.18241155595084, 108.49303078002146, 74.32099497492224, 69.3529172733598, 55.602139549229754, 37.96969474836661]",139538
48,"['36298416', '36298290', '36298395', '36298381', '36298262', '36298220', '36298206', '36298122', '35609273', '35609252', '35609245']","[1083.2951539054807, 931.4924342516136, 798.6553118277213, 584.8409267290149, 419.75899230552, 408.8396852381886, 341.64604831728474, 151.99817684579284, 108.49303078002146, 55.602139549229754, 37.96969474836661]",192192
49,"['36298416', '36298290', '36298395', '36298381', '36298262', '36298220', '36298206', '36298122']","[1083.2951539054807, 931.4924342516136, 798.6553118277213, 584.8409267290149, 419.75899230552, 408.8396852381886, 341.64604831728474, 151.99817684579284]",740490
50,"['31618321', '32988382', '32988396', '31618475']","[257.0363812253069, 254.2146554359113, 132.89327860660381, 18.299975396457285]",355645
51,"['32078802', '32078970', '32476192', '32842551', '32078795']","[827.3627254565821, 682.2102925851468, 559.0926091472996, 299.6981052939996, 192.02989367568824]",228714
52,['35074081'],[7.836897681426502],493379
53,"['31047520', '31047492', '31047450', '35662452', '31047415', '31047464']","[87.731985454361, 61.92253052534606, 48.595294241035994, 34.505553090471324, 27.531580101500445, 23.290491077536526]",632458
54,"['32988382', '32988396', '34129942', '31618475']","[274.7797456457728, 132.89327860660381, 77.11479993801223, 18.299975396457285]",476723
55,"['32078802', '32078830', '32842551', '32078795', '32078970', '32078935']","[509.91262997998035, 406.43274428749595, 273.4956226625291, 231.00431297009112, 57.526631009814786, 1.1354281836515119]",529403
56,"['36298416', '36298395', '36298290', '36298262', '36298220', '36298206', '36298381', '36298122']","[1791.7685004833104, 1530.2592960918003, 1246.3935383487997, 756.5477647131631, 697.6727245029272, 645.8047030281339, 584.8409267290149, 151.99817684579284]",524744
