,product,value,customer
0,['36298381'],[283.57762730470984],166000
1,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",141734
2,['36298381'],[283.57762730470984],472985
3,"['31618321', '31618475', '32988382', '35609273', '34129942', '35609252', '31618405']","[410.0400223199819, 222.9675327068517, 209.9403676644521, 85.28509666770042, 52.49113365886005, 34.788990684693694, 33.91712771021427]",810960
4,"['31047450', '31047464']","[50.04485816878652, 40.49780994595678]",357426
5,"['35609273', '35609252']","[85.28509666770042, 34.788990684693694]",851600
6,['36298381'],[283.57762730470984],617414
7,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",650427
8,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 142.63741178984728, 98.74240426637577, 33.91712771021427, 13.078840080548325]",564404
9,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",389870
10,"['32988382', '31618475']","[132.63339987139267, 89.84182140016723]",11009
11,"['31618321', '32988382', '31618475', '35609273', '34129942', '35609252', '31618405']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 85.28509666770042, 52.49113365886005, 34.788990684693694, 33.91712771021427]",783108
12,"['32988382', '31618475']","[132.63339987139267, 89.84182140016723]",103384
13,['36298381'],[283.57762730470984],776886
14,['36298381'],[283.57762730470984],726017
15,"['32842551', '32078970', '32078795', '32079082', '32078935']","[182.36516456806467, 62.622532437596284, 40.017786856513304, 11.309078758771438, 1.8983611955475592]",648807
16,"['32842551', '32078970', '32078795', '32079082', '32078935']","[182.36516456806467, 62.622532437596284, 40.017786856513304, 11.309078758771438, 1.8983611955475592]",634246
17,"['36298381', '35609273', '35609252', '32078970']","[283.57762730470984, 85.28509666770042, 34.788990684693694, 19.940030652670576]",587149
18,"['36298381', '31047450', '31047464']","[283.57762730470984, 50.04485816878652, 40.49780994595678]",476785
19,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",668663
20,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",643220
21,"['32988382', '31618475', '34129942']","[142.63741178984728, 98.74240426637577, 13.078840080548325]",477317
22,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",584115
23,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",617858
24,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 142.63741178984728, 98.74240426637577, 33.91712771021427, 13.078840080548325]",554190
25,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",127232
26,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",108755
27,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",528591
28,"['31618321', '32988382', '31618475', '34129942', '31618405']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 52.49113365886005, 33.91712771021427]",309130
29,"['31047450', '31047464']","[50.04485816878652, 40.49780994595678]",16929
