,product,value,customer
0,"['31618475', '32988382', '34129942']","[297.6178852695093, 253.0349200847682, 18.210682594912296]",104365
1,"['36298416', '36298395', '36298220', '36298206', '36298381', '34798386', '36298122', '34130894']","[2275.933141867629, 2099.3794220461164, 876.9585324254264, 689.2502796946033, 678.9605673147175, 161.6051524421832, 159.24688011896038, 49.40063491208645]",907309
2,"['36298416', '36298395', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 678.9605673147175, 159.24688011896038]",480694
3,"['36298416', '36298395', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 678.9605673147175, 159.24688011896038]",531230
4,"['36298220', '36298206', '36298381']","[876.9585324254264, 689.2502796946033, 136.19829275876663]",893709
5,"['31047450', '31047464']","[73.77258451199832, 52.34917005095697]",871380
6,"['31618475', '32988382']","[272.0252261069808, 253.01601183589494]",906037
7,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",856372
8,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",487621
9,"['31047450', '31047464']","[73.77258451199832, 52.34917005095697]",773285
10,"['31618475', '32988382', '31047450', '34129942']","[272.0252261069808, 253.01601183589494, 36.52506843159224, 18.210682594912296]",96196
11,['32078795'],[24.68169239602989],30914
12,"['36298416', '36298395', '36298381', '31618475', '32988382', '36298122', '34129942']","[2275.933141867629, 1234.2502222916794, 678.9605673147175, 297.6178852695093, 253.0349200847682, 159.24688011896038, 18.210682594912296]",868898
13,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",863147
14,"['31618321', '31618475', '32988382', '31618405', '34129942']","[945.1447404429092, 297.6178852695093, 253.0349200847682, 118.35782439901915, 18.210682594912296]",441329
15,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 2099.3794220461164, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",175987
16,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",695760
17,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",717137
18,"['31618321', '31618475', '32988382', '34129942', '31618405']","[945.1447404429092, 737.4983489619906, 498.5654932260181, 148.9027885253545, 118.35782439901915]",727513
19,['32078795'],[24.68169239602989],804106
20,"['36298416', '36298395', '36298220', '36298206', '36298381', '34798386', '36298122', '34130894']","[2275.933141867629, 2099.3794220461164, 876.9585324254264, 689.2502796946033, 678.9605673147175, 161.6051524421832, 159.24688011896038, 49.40063491208645]",371005
21,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",886366
22,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",18201
23,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",901654
24,"['36298416', '36298395', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 678.9605673147175, 159.24688011896038]",869995
25,['32078795'],[24.68169239602989],837691
26,"['31047450', '31047464']","[73.77258451199832, 52.34917005095697]",129700
27,"['32078802', '32078795', '32842551', '32078970', '32079082', '32078935']","[1076.2166746635708, 453.14981443563715, 399.58008649397294, 105.54651171459584, 81.51421243336533, 3.8743391493146437]",92094
28,"['32078802', '32078795', '32842551', '32078970', '32078935', '31047450']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183, 36.52506843159224]",514226
29,"['36298395', '36298220', '36298206', '36298381']","[1234.2502222916794, 876.9585324254264, 689.2502796946033, 136.19829275876663]",270318
30,"['31047450', '31047464']","[73.77258451199832, 52.34917005095697]",361978
31,"['31618321', '31618475', '34129942', '31618405', '32988382']","[945.1447404429092, 737.4983489619906, 148.9027885253545, 118.35782439901915, 88.98763597402909]",771005
32,"['36298416', '36298395', '36298220', '36298206', '36298122', '36298381']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 159.24688011896038, 136.19829275876663]",792067
33,"['36298220', '36298206', '36298381']","[876.9585324254264, 689.2502796946033, 136.19829275876663]",688387
34,"['31618321', '31618475', '32988382', '34129942', '31618405']","[945.1447404429092, 737.4983489619906, 498.5654932260181, 148.9027885253545, 118.35782439901915]",440930
35,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",486397
36,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",576842
37,"['31618321', '31618475', '32988382', '31618405', '34129942']","[945.1447404429092, 297.6178852695093, 253.0349200847682, 118.35782439901915, 18.210682594912296]",259105
38,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",786346
39,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",492515
40,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",89645
41,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",770792
42,"['36298416', '36298395', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 678.9605673147175, 159.24688011896038]",99057
43,"['31047464', '31047450']","[52.34917005095697, 36.52506843159224]",761972
